,Sqft,Yr Built,V,PP,price,date,address,Br,Ba,LSqft,DOM,year,month,Mor,SFR,CONDO,TWNHS,COMRES,DPLX,COOP,TPLX,MANL,QUAD,STD,TRUS,PRO,NOD,TPAP,CONS,BNKR,REO,AUC
348,2120,2006,True,False,1198000,2022-10-11,1036 Ella ST  ,3,3.0,3750.0,21,2022,10,6.66,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
63,1200,2007,True,False,589000,2022-10-11,3596 Broad ST   #204,2,2.0,1200.0,6,2022,10,6.66,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
78,1002,1974,False,False,619500,2022-10-11,26 Los Verdes DR  ,2,3.0,3600.0,1,2022,10,6.66,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
135,1615,1973,True,False,701000,2022-10-07,306 Calle Lupita   ,4,2.0,6422.0,4,2022,10,6.66,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
60,984,1981,True,False,580000,2022-10-07,262 Loma Bonita DR   #32,2,1.0,871.0,18,2022,10,6.66,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
318,1484,2020,True,False,1100000,2022-10-07,431 Marsh Street    #202,2,3.0,1846.0,0,2022,10,6.66,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8,549,1985,False,False,410000,2022-10-07,411 E Foothill BLVD   #3,1,2.0,549.0,45,2022,10,6.66,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
396,1946,2013,True,False,1350000,2022-10-05,285 Lawrence DR  ,3,3.0,9008.0,4,2022,10,6.7,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
412,1223,1949,True,False,1450000,2022-10-03,740 Murray AVE  ,3,3.0,7497.0,15,2022,10,6.7,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
49,1067,1985,True,False,555000,2022-10-03,2220 Exposition DR   #75,2,2.0,1067.0,8,2022,10,6.7,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
382,1695,2018,True,False,1300000,2022-09-30,2111 Harris ST  ,3,3.0,5151.0,5,2022,9,6.7,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
254,2004,2014,True,False,925000,2022-09-29,328 Junipero WAY  ,3,2.0,4000.0,36,2022,9,6.29,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
53,1056,1973,True,False,560000,2022-09-29,1750 Prefumo Canyon RD   #4,3,2.0,1056.0,4,2022,9,6.29,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
463,2709,1890,True,False,1800000,2022-09-28,2006 Chorro ST  ,4,4.0,7050.0,62,2022,9,6.29,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
303,2148,1984,True,False,1050000,2022-09-28,960 San Adriano Court   ,3,3.0,6820.0,3,2022,9,6.29,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
347,2311,1984,True,False,1190000,2022-09-28,3285 Flora ST  ,3,2.0,8399.0,70,2022,9,6.29,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
142,1412,1973,True,False,715000,2022-09-27,362 Calle Lupita   ,3,1.0,6500.0,28,2022,9,6.29,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
237,1874,2022,True,False,898000,2022-09-26,2521 Victoria AVE  ,3,2.0,1890.0,84,2022,9,6.29,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
218,1874,2022,True,False,875000,2022-09-26,1837 San Luis Ranch RD  ,4,3.0,2400.0,26,2022,9,6.29,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
364,2090,1998,True,False,1211000,2022-09-26,1368 Purple Sage Lane   ,4,2.0,4661.0,8,2022,9,6.29,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
144,1551,1910,True,False,720000,2022-09-23,1413 Archer ST  ,3,3.0,4800.0,16,2022,9,6.29,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
457,3900,1991,True,False,1700000,2022-09-23,5952 Birkdale LN  ,5,3.0,11900.0,129,2022,9,6.29,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
164,1893,2007,True,False,775000,2022-09-22,3591 Sacramento Dr. DR   #26,3,2.0,1876.0,16,2022,9,6.02,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
167,1284,2022,True,False,779900,2022-09-22,783 Caudill ST  ,2,2.0,1211.0,97,2022,9,6.02,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
401,2275,1970,True,False,1395000,2022-09-22,1342 San Marcos Ct   ,4,3.0,6120.0,59,2022,9,6.02,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
461,2195,2014,True,False,1750000,2022-09-21,1325 Garden ST  ,2,5.0,870.0,23,2022,9,6.02,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
265,1471,1984,True,False,948500,2022-09-20,833 Bougainvillea ST  ,3,3.0,6002.0,3,2022,9,6.02,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
140,1009,1890,True,False,710000,2022-09-20,1189 Buchon   ,2,3.0,4500.0,14,2022,9,6.02,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
94,1768,1981,True,False,645000,2022-09-20,1106 Oceanaire DR   #43,3,2.0,1768.0,54,2022,9,6.02,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
363,1950,1900,True,False,1205000,2022-09-19,1502 Johnson AVE  ,5,2.0,11836.0,7,2022,9,6.02,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
88,1244,1993,True,False,635000,2022-09-15,1008 Willow CIR   #5,3,3.0,1244.0,3,2022,9,5.89,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26,825,2015,False,False,470000,2022-09-15,959 Humbert Ave.   ,2,1.0,888.0,1,2022,9,5.89,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
131,1213,1961,True,False,699000,2022-09-14,1766 Pinecove   ,3,3.0,6000.0,5,2022,9,5.89,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
95,1737,1989,False,False,649000,2022-09-14,290 Via San Blas   ,3,3.0,2133.0,34,2022,9,5.89,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
143,1627,1987,True,False,719000,2022-09-13,3202 Via Ensenada   ,3,3.0,2133.0,14,2022,9,5.89,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
275,2099,1990,True,False,965000,2022-09-09,708 Clearview LN  ,3,2.0,4904.0,10,2022,9,5.89,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
397,2298,2019,True,False,1350000,2022-09-09,1110 Twin Creek   ,4,2.0,5179.0,56,2022,9,5.89,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
358,1677,1986,False,False,1200000,2022-09-09,466 Woodbridge ST  ,3,2.0,6562.0,11,2022,9,5.89,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
151,1462,2016,True,False,735000,2022-09-08,949 Humbert Avenue   ,3,3.0,1362.0,13,2022,9,5.66,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
437,3372,2000,True,False,1600000,2022-09-07,1352 Madrone LN  ,4,4.0,11390.0,16,2022,9,5.66,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
474,3559,1988,False,False,1995000,2022-09-02,5895 Tamarisk WAY  ,4,8.0,9323.0,33,2022,9,5.66,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
90,748,1984,True,False,637000,2022-09-02,1257 Iris    #4,1,3.0,748.0,96,2022,9,5.66,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
415,2403,1976,True,False,1450000,2022-09-01,238 Patricia CT  ,4,3.0,9310.0,16,2022,9,5.55,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
182,1363,1989,True,False,800000,2022-08-31,1050 Bluebell WAY  ,2,4.0,1363.0,12,2022,8,5.55,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
35,971,1984,True,False,499000,2022-08-31,375 N Chorro ST   #A,2,2.0,971.0,4,2022,8,5.55,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
34,945,1982,True,False,499000,2022-08-31,3335 Broad Street    #23,2,2.0,945.0,14,2022,8,5.55,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
181,1587,1974,False,False,800000,2022-08-30,51 Del Sol CT  ,4,3.0,4987.0,12,2022,8,5.55,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
447,3940,1960,True,False,1655000,2022-08-29,2466 Sunset DR  ,4,3.0,15142.0,16,2022,8,5.55,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
305,1690,1938,True,False,1060000,2022-08-29,369 Lemon ST  ,5,3.0,5000.0,7,2022,8,5.55,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
492,4100,2004,True,False,3000000,2022-08-29,740 Via Robles   ,4,1.0,43560.0,33,2022,8,5.55,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
342,1826,2019,True,False,1175000,2022-08-29,3063 Livorno CIR  ,3,3.0,5227.0,12,2022,8,5.55,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
308,1440,1959,True,False,1065000,2022-08-29,246 Del Mar CT  ,3,2.0,6380.0,9,2022,8,5.55,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
16,966,1987,False,False,445000,2022-08-26,1025 Southwood DR   #J,2,1.0,966.0,13,2022,8,5.55,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
244,1342,1965,True,False,900000,2022-08-25,1761 Tanglewood   ,3,3.0,6048.0,54,2022,8,5.13,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
180,1380,1961,True,False,800000,2022-08-25,1137 Madonna RD  ,4,2.0,6000.0,8,2022,8,5.13,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
362,1352,1953,True,False,1200000,2022-08-25,2061 Hope ST  ,3,3.0,6750.0,18,2022,8,5.13,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
306,1950,1970,True,False,1060000,2022-08-24,3225 Flora   ,3,2.0,7920.0,35,2022,8,5.13,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
430,1936,1961,True,False,1538562,2022-08-23,183 Fel Mar DR  ,3,3.0,10000.0,0,2022,8,5.13,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
